tagID,tagValue
164,k-pop
165,good music
166,death cab for cutie
167,rnb
168,teen rock
169,pop punk
170,grunge
171,my fav punk band
172,so cool
173,lyceum
174,belarussian pop
175,belarussian rnb
176,emo
177,nu metal
178,screamo
179,gothic
180,post-hardcore
181,punk
182,punk rock
183,christian rock
184,soundtrack
185,acoustic
186,emocore
187,electronica
188,polish
189,industrial rock
190,gothic rock
191,instrumental
192,classic rock
193,country
194,hardcore
195,british
196,polish rock
197,gangsta rap
198,rapcore
199,electropop
200,hot
201,guilty pleasures
202,electro pop
203,disco
204,fierce
205,urban pop
206,<3
207,want to see live
208,diva
209,legend
210,00s
211,thats hot
212,criminal
213,beautiful
214,big voice
215,icon
216,american
217,untalented
218,slut
219,whore
220,fake boobs
221,the hills
222,people who have no talent
223,umtalented
224,bad
225,money
226,california
227,comedy
228,catchy
229,epic
230,love it
231,ballad
232,addictive
233,dark
234,amazing
235,dancepop
236,the fame monster
237,#1
238,sexy
239,spanish new wave
240,80s pop espanol
241,spanish pop
242,power pop
243,spanish rock
244,spanish pop-rock
245,garage
246,pop espanol
247,60s
248,garage revival
249,garage rock
250,60s psychedelic
251,swing
252,mod
253,rockabilly
254,freakbeat
255,rock espanol
256,retro swing
257,swing revival
258,neo swing
259,psychobilly
260,grave stompers
261,punkabilly
262,50s rock revival
263,80s garage
264,90s pop espanol
265,ska
266,psychedelic garage
267,psychedelic garage revival
268,surf
269,techno pop
270,spanish rockabilly
271,60s garage
272,garage surf
273,ska revival
274,surf revival
275,post-punk
276,instro rock
277,mod revival
278,rock urbano
279,ska punk
280,rad
281,grind
282,spacy
283,raw
284,1st take
285,awesome
286,pretty
287,lovely
288,beatsy
289,hot guitar
290,lesser known yet streamable artists
291,greek
292,folk
293,cypriot
294,greek pop
295,greek rock
296,indie pop
297,pop-rock
298,greek alternative
299,world
300,greek hip-hop
301,eurovision
302,ethnic
303,x factor
304,hip hop
305,pop-folk
306,male vocalists
307,pop folk
308,latin
309,electro
310,modern folk
311,reggae
312,greek folk
313,laiko
314,greek rap
315,asian
316,entexno
317,south pacific
318,traditional
319,spanish
320,chilean
321,french
322,pacific
323,hood
324,lady
325,ft
326,wale
327,progressive trance
328,psycho
329,slayer
330,death
331,pain
332,atheist
333,palestine
334,pestilence
335,noize
336,idmbient
337,crust
338,witch house
339,russian
340,female
341,gay
342,gay icons
343,teen pop
344,gay icon
345,europop
346,90s
347,girl
348,fun
349,female pop
350,latin pop
351,dance pop
352,queen of pop
353,top artists
354,australian
355,radio crazy
356,toxic
357,brit pop
358,favorites
359,pwl
360,kylie minogue
361,my favorite music
362,mexican
363,kylie
364,favorite
365,r and b
366,best of pop
367,i luv this
368,ateens
369,russian metalcore
370,metalcore
371,nintendo-core
372,deathcore
373,bosnian thrashcore
374,metal core
375,thrashcore
376,female melodic death metal
377,modern melodic metal
378,modern melodic death metal
379,melodic death metal
380,heavy metal
381,progressive rock
382,brit rock
383,britpop
384,indsutrial
385,shoegaze
386,death rock
387,dream pop
388,proto-punk
389,new romantic
390,electroclash
391,alterntative rock
392,alternative pop
393,popstars
394,talent
395,king of pop
396,the king of pop
397,michael-jackson-the-king-of-pop
398,girlgroup
399,disney
400,brazil
401,genial
402,female vocals
403,guitar virtuoso
404,albums i own
405,andre matos
406,best band ever
407,great singer
408,melodic metal
409,nwobhm
410,tr00
411,rock opera
412,iron maiden cover
413,metal god
414,sao paulo
415,best singer ever
416,male vocals
417,helloween
418,progressive
419,pastel
420,depressive
421,hangar
422,jau
423,babi fernandes nadaleto
424,heavy rock
425,hugo mariutti
426,brazilian
427,nightwish cover
428,adrian dragassakis
429,breyla iv
430,angra
431,rafael bittencourt
432,animal
433,fodinha
434,clasical
435,industrail rock
436,sludge
437,new ag
438,progessive metal
439,blues rock
440,grunge rock
441,favourites
442,my favourite songs
443,solar stone
444,underworld
445,sophie ellis-bextor
446,plaid
447,adymus
448,dj tony venilman
449,guru josh project
450,wolfgang gartner
451,dj disciple
452,dj eco
453,danjo
454,rozza
455,dj walus
456,the touch
457,nate wollman
458,eliess
459,amntqnn onratob
460,david amo
461,dj antonio
462,art meson
463,dan stone
464,kurd maverick
465,andrew wooden
466,spirit catcher
467,that mucho
468,ernesto vs bastian
469,anjunabeats
470,julien creance
471,silent intensity
472,transa
473,radio romania
474,radio
475,usa
476,sasha
477,party
478,rick astley
479,thomas newman
480,smile
481,poison
482,runner runner
483,taylor momsen
484,all time low
485,nothing personal
486,kesha
487,glee
488,synth
489,synth wave
490,80s awesome
491,80s party
492,i love 80s
493,melodic
494,brilliant
495,pet shop boys
496,back to the 80s
497,live
498,classic synthpop
499,80s pop
500,i love 90s
501,10s
502,love
503,dance-pop
504,80s new wave
505,english
506,romantic
507,nostalgic
508,depeche mode
509,best of 80s
510,i love disco diamonds
511,80s dance
512,hungarian
513,eighties
514,romance
515,italo disco
516,remix album
517,nordic
518,great
519,genious
520,piano
521,classic
522,folk rock
523,contemporany
524,chile
525,guitar hero
526,too slow amarok
527,renaissance
528,impressionist
529,baroque
530,minimalista
531,neofolk
532,japan 80s
533,strings - organs  rubber wind
534,djent
535,japanese
536,avant-garde metal
537,stoner rock
538,composers
539,classical
540,jazz fusion
541,fusion
542,c
543,hardrock
544,black music 4 black ppl listened 2 by white hipsters
545,lastfm hipster artists
546,weeabo
547,wigger
548,lastfm elitist repellent
549,industrial pop
550,musique concrete
551,easy listening
552,masturbation
553,pretentious crap
554,best albums
555,ep
556,futuremelon
557,terrorbanana
558,psytrance
559,dark electro
560,goffpop
561,rave
562,goa
563,germany
564,techno
565,dark techno
566,helltrance
567,vampirepop
568,dark ambient
569,darkwave
570,alpha quadrant
571,industrial techno
572,ambient industrial
573,intelligent electro
574,industrial dance
575,boring
576,goff
577,pissbass
578,new kid on the block
579,darktechno
580,science fiction
581,darktrance
582,psychedelic trance
583,star trek
584,electrowave
585,borg
586,techtrance
587,dark electronic
588,old shit
589,war
590,tech-trance
591,combichrist
592,portion control
593,cyber
594,futurepop
595,swedish
596,futurepop anthem
597,hardstyle
598,norwegian
599,gabber
600,multiple artists
601,dutch
602,italian
603,hard trance
604,childhood
605,canadian
606,deathrock
607,powernoise
608,belgian
609,power metal
610,technical thrash metal
611,speed metal
612,on frozen fields
613,groove metal
614,war metal
615,battle metal
616,best of the best
617,depression
618,electro house
619,soul
620,drum and bass
621,podcast
622,wtf
623,disappointment
624,timbaland killed my carrer
625,minimalist
626,rihanna
627,miley cyrus
628,americans
629,shakira
630,britney spears
631,tecno
632,r&b
633,queen
634,urban
635,top 40
636,guilty pleasure
637,teen
638,tech
639,era
640,ass
641,00
642,thalia
643,sex symbol
644,jlo
645,pop teen
646,rap reggae
647,camp rock
648,ashley tisdale
649,selena gomez in the scene
650,jeffree star
651,katy perry
652,lady gaga
653,mi delirio
654,woman
655,ballads
656,perfect
657,riri
658,christina aguilera
659,xtina
660,not myself tonight
661,bionic
662,copa
663,xtina love
664,girl power
665,why on earth is this just a bonus track
666,raining men
667,supersonic
668,rated r
669,te amo
670,sweet dreams
671,3oh3
672,bestrihanna
673,gggb
674,favoritesong
675,good girl gone bad
676,tip pon toe
677,country pop
678,punk pop
679,nickelodeon
680,idol
681,abba
682,rainha do pop
683,madonna
684,swedish pop
685,favorite by this group
686,melhor cantora europeia de todos os tempos
687,mpb
688,ana carolina
689,oldies
690,1970s
691,best of all
692,love song
693,trilha sonora
694,60's
695,beyonce
696,smooth
697,fucking sexy
698,ackles
699,f-u-c-k me
700,2008
701,brasileira
702,get stupid
703,1982
704,the best of madonna
705,1978
706,gospel
707,best song ever
708,sweden
709,roxette
710,joyride
711,scandinavian
712,christmas songs
713,gossip girl
714,salsa
715,trumpet
716,colombia
717,reggaeton
718,happy
719,vivaldi
720,salsa romantica
721,vocal
722,rock en espanol
723,concerto
724,love at first listen
725,barroco
726,antonio vivaldi
727,barroco favorito
728,latino
729,70s
730,dance rock
731,great lyrics
732,nu-metal
733,swedish metal
734,brutal deathgrind
735,grindcore
736,brutal death metal
737,technical death metal
738,death metalcore
739,brutal deathcore
740,progressivo
741,christian metalcore
742,jpdm
743,deathgrind
744,post hardcore
745,russian death metal
746,bree bree
747,goregrind
748,vocalist
749,bay area
750,southern rap
751,indie folk
752,instrumental hip-hop
753,acoustic music
754,rock in rool
755,pop metal
756,not emo
757,andy six
758,post-hadcore
759,lady gaga play day
760,holiday soundtrack
761,unreleased
762,stand out be proud
763,demi lovato
764,my childhood
765,underrated
766,one of her best songs
767,her best
768,amazing voice
769,elvis presley
770,gross meaning but good song
771,why on earth wasnt this released
772,party time
773,vanessa hudgens
774,legends
775,2010
776,one of my favorites
777,hilarious
778,american idol
779,never gets old
780,celebrities who one day im determined to meet
781,nick
782,wishlist
783,2010s
784,soundrack of my life
785,taylor swift
786,1980s
787,fucking awesome
788,play this loud enough to raise the dead
789,haunting
790,music for tossing furniture around
791,masterpiece
792,unforgettable
793,genius
794,cello metal
795,hypnotic
796,take your shirt off and dance to it
797,apocalyptic
798,so sad yet so beautiful
799,i think trent reznor is superior to god
800,soundtrack of my dreams
801,helplessly singing along
802,beautifully depressing
803,great cover
804,attitude
805,peaceful
806,great b-side
807,songs you must hear before you die
808,perfection
809,my face is completely rocked off
810,fucking beautiful
811,mega awesome sweet fuckin hyperpowerful riff
812,greatest rock anthems
813,my music pillow
814,chen-
815,post rock
816,basque
817,brasil
818,mellow
819,relaxing
820,chill
821,medieval
822,finnish
823,blues
824,guitar
825,the best
826,music to cry
827,energy
828,ukrainian
829,nostalgia
830,dreamy
831,sad and slow
832,amazing vocal
833,sad
834,perfect lyrics
835,absolutely genius
836,piano rock
837,rock ballad
838,sensual
839,meditative
840,placebo
841,female vocal
842,hair metal
843,riot grrrl
844,cover
845,rock catala
846,christian metal
847,celtic
848,spiritual
849,new rave
850,mixmaster supreme
851,disco classic
852,smooth groove
853,damn boy
854,glorious gospel
855,deep house mixes
856,90s jam
857,forgotten 80s jam
858,loleeta
859,memphis soul
860,miss grace jones
861,grace
862,loleatta
863,drum 'n' bass
864,dnb
865,hot enough to sweat out your press n curl
866,quiet storm
867,70s jazz
868,luther vandross
869,beautifully sad love song
870,beautifully sad song
871,vocal classic
872,david at his finest
873,oh so beautiful
874,fonky fresh jam
875,undulating
876,slinky
877,philly soul
878,still a jam
879,fav songs
880,albums i have on mp3
881,new wave songs
882,new wave albums
883,fav artists
884,albums i have on vinyl
885,synthpop songs
886,1982 songs
887,fav albums
888,synthpop albums
889,british artists
890,1981 songs
891,new wave artists
892,albums i have on cd
893,1983 songs
894,new romantic songs
895,1984 songs
896,1979 songs
897,1984 albums
898,debut albums
899,1983 albums
900,3 star albums
901,synthpop artists
902,1980 songs
903,1982 albums
904,4 star albums
905,electronic albums
906,1981 albums
907,1980 albums
908,1986 albums
909,1985 albums
910,1985 songs
911,electronic songs
912,american artists
913,b-sides
914,alternative albums
915,1979 albums
916,instrumentals
917,1986 songs
918,1987 albums
919,2 star albums
920,1988 albums
921,5 star albums
922,post-punk songs
923,new romantic albums
924,disappointing albums
925,rock albums
926,1978 albums
927,pure aural sex
928,songs to listen to on a sunny day
929,lo-fi
930,mariah carey
931,leona lewis
932,run the world
933,weirdo music
934,clocks
935,arjen anthony lucassen
936,space metal
937,metroid
938,game
939,my other car is a cdr
940,lisp
941,pirate metal
942,alliterative
943,duke nukem
944,epic song
945,sicp
946,neo-classical metal
947,june
948,best albums of 2010
949,favourite
950,the beowulfs choice
951,scholes song
952,the pedofinder general
953,po-kraftwerkski
954,my pleasuredome
955,zadrotstvo
956,my fav fun
957,touching song
958,ogonj
959,absolute disco
960,oni pout
961,ohm sweet ohm
962,nejlepsi
963,po-andoneovski
964,hellish song
965,polotenchik poet
966,my choice
967,my fav voice
968,tango
969,my calm
970,true synthpop
971,classical crossover
972,opera
973,andrew lloyd webber
974,tenor
975,mezzo-soprano
976,pop opera
977,soprano
978,baritone
979,popera
980,alessandro safina
981,caruso
982,the phantom of the opera
983,duet
984,turandot
985,musical
986,adagio
987,phantom of the opera
988,foll
989,mepoupe
990,korean
991,pure love
992,somebody told me
993,alternatif
994,anglais
995,darkstep
996,darkside
997,hardstep
998,belarus
999,death-metal
1000,mathcore
1001,g-funk
1002,bandana music
1003,westcoast
1004,g-funk francais
1005,bay rap
1006,chicano rap
1007,laglak
1008,gangsta rnb
1009,pimp rap
1010,jazz rock
1011,math rock
1012,jazzcore
1013,jazz core
1014,indie jazz dance math rock
1015,aysel gurel
1016,onno tunc
1017,1992
1018,1988
1019,1990
1020,1994
1021,sezen aksu
1022,1987
1023,1993
1024,1986
1025,1984
1026,1991
1027,garo mafyan
1028,atilla ozdemiroglu
1029,1989
1030,perdesiz gitar
1031,banu kirbag
1032,1999
1033,1997
1034,1996
1035,2005
1036,1985
1037,arabesk
1038,1995
1039,1983
1040,1998
1041,erkan ogur
1042,1981
1043,gundogarken
1044,bir yaz daha bitiyor
1045,istanbul
1046,baha boduroglu
1047,turk sanat muzigi
1048,mozaik
1049,cook alametler belirdi
1050,nur yoldas
1051,parios
1052,flamenco jazz
1053,modern klasik
1054,ezginin gunlugu
1055,yildirim turker
1056,oludeniz
1057,tanju duru
1058,selmi andak
1059,sn
1060,1979
1061,vedat sakman
1062,arto tuncboyaciyan
1063,kivanc k
1064,1980
1065,rock 'n' roll
1066,backstage rock shop artist
1067,loistavuus
1068,rhythm and blues
1069,scandinavian action rock
1070,rock n roll
1071,rock'n roll
1072,seattle sound
1073,trancecore
1074,mexico
1075,favourite albums
1076,gader
1077,dirty south
1078,2006
1079,2002
1080,female voices
1081,justin timberlake
1082,jessica simpson
1083,songwriter
1084,2000
1085,inspirational
1086,jacksons
1087,fmera album
1088,best song in the world
1089,lofi
1090,chill zone
1091,covers
1092,miserable
1093,christmas blend
1094,rain
1095,morning
1096,duets
1097,industri
1098,steve albini
1099,steve abini
1100,no wave
1101,avant garde
1102,marathon
1103,beer
1104,touhou
1105,hai
1106,susu
1107,utage
1108,peppy
1109,video
1110,nico
1111,iosys
1112,osu
1113,ievan polka
1114,ryusueigun
1115,can
1116,you
1117,just
1118,gaga
1119,parody
1120,power
1121,polka
1122,spice girls
1123,backstreet
1124,hair
1125,afro
1126,parappa
1127,cut
1128,trim
1129,flave
1130,bass
1131,hoppar
1132,mafia
1133,superhit
1134,masz do cholery
1135,musicals
1136,ross
1137,damon albarn
1138,drone doom
1139,alternativemetal
1140,hott
1141,sufoco
1142,80's music
1143,big fun
1144,big hair
1145,supercool
1146,deep
1147,classic pop
1148,heavy funk
1149,tecno comedy
1150,80z pop
1151,tragically-80s
1152,popdance
1153,hillarious
1154,hot track
1155,funny scottish bastard
1156,sexy song
1157,positive
1158,beautiful sounds
1159,dance funk
1160,gorgeous boys
1161,gorgeous soul
1162,dancerock
1163,mosh song
1164,hot voice
1165,fun-dance-song
1166,great love song
1167,popfun
1168,australian rock
1169,genius at work - brilliant song
1170,aussie pop dance band
1171,80z rock
1172,eerily beautiful
1173,poprock
1174,hotttttttt
1175,brilliant live rock band
1176,aweosme rock
1177,british tosser
1178,ahhhhhhhhh
1179,australian pop rock at its best
1180,timeless rock
1181,eargasm x 100000
1182,lush
1183,wow
1184,exclamation mark
1185,dreampop
1186,cheese on toast
1187,samey
1188,just a little bit sexy
1189,wooooooaaaaahh
1190,jewish folk alternative rap
1191,hilary duff
1192,featuring
1193,slash
1194,fergie
1195,8-bit
1196,overrated
1197,southern rock
1198,synth indie rock
1199,favourite artists
1200,simple but awesome
1201,i love this fucking song
1202,so catchy i might explode
1203,depeche mode covers
1204,if it were a cake i could eat it
1205,best of 2008
1206,jrock
1207,j-metal
1208,japanese hip-hop
1209,hardcore punk
1210,marisa mix
1211,ben folds
1212,tom waits
1213,1973
1214,4/4
1215,guitar solo
1216,brawler
1217,bluesy
1218,loneliness
1219,green day
1220,the weakerthans
1221,the roots
1222,regina spektor
1223,1970
1224,2009
1225,2007
1226,horns
1227,2004
1228,iron & wine
1229,cake
1230,randy newman
1231,growing up
1232,alternative music
1233,alternatif muzik
1234,rock gaucho
1235,rio grande do sul
1236,powerpop
1237,rock porto alegre
1238,italian pop
1239,christian
1240,road  movie
1241,disney on ice
1242,hal
1243,instructive
1244,audio book
1245,propaganda
1246,core
1247,school
1248,etheral
1249,chipgaze
1250,experimental metal
1251,breakcore
1252,speedcore
1253,chiptune
1254,raggacore
1255,jungle
1256,8bit
1257,terror
1258,8 bit
1259,latvian
1260,breakbeat
1261,hardcore techno
1262,south park
1263,cartman
1264,dominican republic
1265,crossover
1266,old school death metal
1267,ambient black metal
1268,funeral doom metal
1269,funeral doom
1270,death/black metal
1271,sleaze rock
1272,glam-sleaze rock
1273,glam metal
1274,rock 80s
1275,street punk
1276,chaos punk
1277,sleaze
1278,performer
1279,best seller
1280,entertainer
1281,pop icon
1282,pop queen
1283,superstar
1284,grammy winner
1285,recordwoman
1286,very very guilty pleasure
1287,britney fan
1288,heartbreaker
1289,composer
1290,mtv
1291,unreal
1292,ost
1293,record
1294,bleach
1295,star
1296,tears
1297,big bang
1298,living legend
1299,unusual you like
1300,blackout
1301,truth
1302,bleachaddict
1303,jpop
1304,emotion
1305,transcendant
1306,pop princess
1307,amazing fans
1308,best song
1309,post-metal
1310,grime
1311,artcore
1312,jumpstyle
1313,unique song
1314,war is like music
1315,dub dos brother
1316,fucking awensome
1317,pink floyd
1318,guns n roses
1319,fucking cool
1320,american blues artist group
1321,ameribluesscene
1322,blueartistgroup
1323,american blues scene
1324,guitar karlsruhe
1325,allboutguitar
1326,seattle
1327,blues music
1328,red shoe diaries
1329,brent david fraser
1330,fame la
1331,harmonica blues
1332,dudley taft
1333,german blues lovers
1334,excellence
1335,great song
1336,great intro here nice chill beat with uptempo feel as well
1337,one of the illest groups dah shinin is a must get top 3 album ever
1338,vocal trance
1339,love songs
1340,scottish
1341,soft rock
1342,christmas
1343,50s
1344,eurodance
1345,post-grunge
1346,modern metal
1347,german metal
1348,industrial death metal
1349,stoner metal
1350,sludge metal
1351,bulgarian
1352,female fronted metal
1353,freestyle
1354,shred
1355,funny
1356,radio show
1357,advice
1358,talk show
1359,folk metal
1360,viking metal
1361,wolf metal
1362,carrie underwood
1363,my fav girls
1364,country divas
1365,best of 2009
1366,the best of pop
1367,female country
1368,carrie underwood favourite
1369,soundtrack of my life
1370,sex pop
1371,adam lambert
1372,lil wayne
1373,country favorites
1374,country rock
1375,my favorite artists
1376,female singers
1377,best albums of 2009
1378,country albums to check out
1379,eminem
1380,linda perry
1381,im ok
1382,kelly clarkson
1383,already gone
1384,pop rock nacional
1385,philadelphia
1386,country dobro americana dylan humor parody satire funny zappa
1387,fiscal crisis
1388,relevant now
1389,acme of western civilization
1390,fingerpicking
1391,tromboners
1392,godlike
1393,eceletic
1394,philadelphia philly funny quirky
1395,phildelphia
1396,ents
1397,west philly
1398,fugs
1399,upper darby
1400,trees
1401,talking heads
1402,weed
1403,devo
1404,phish
1405,marijuana
1406,zappa
1407,philly
1408,420
1409,trippy
1410,humor
1411,drugs
1412,prog
1413,quirky
1414,aufdiefresse
1415,urz
1416,family guy
1417,big beat
1418,aggressive
1419,humour
1420,love metal
1421,the beatles
1422,fevereirooooo lol
1423,music faz lembrar a a nani num sei pq mais eu lembro
1424,music gay :d
1425,music ki me faz lembrar meu amor s2
1426,digimon xd lol
1427,music lembra quando eu thava 7 serie lol
1428,lol music boa de mais da conta
1429,rock ballads
1430,finnish rock
1431,theatrical
1432,emotional
1433,dramatic
1434,remix
1435,educational music
1436,kindie
1437,childrens music
1438,prog-rock
1439,coffeehouse
1440,beatles influenced
1441,beck-influenced
1442,dancehall
1443,song for the dumped
1444,chill-out
1445,orchestral pop
1446,horror film music
1447,theatre
1448,movie music
1449,broadway
1450,eerie
1451,amy macdonald
1452,love is weird
1453,can not have the best of me
1454,female vocalits
1455,roots reggae
1456,minimal techno
1457,electrodub
1458,loose
1459,nelly
1460,furtado
1461,axe
1462,forro
1463,whitneyduncan
1464,kelly key
1465,goth
1466,brazilian post-punk
1467,indie funk
1468,dark pop
1469,dark metal
1470,girl band
1471,portuguese
1472,future-pop
1473,french pop
1474,electropunk
1475,synth-rock
1476,fav female singers
1477,fav tracks
1478,fav male singers
1479,relax
1480,good mood
1481,depressing
1482,sex
1483,abre caminhos
1484,minuto de sabedoria
1485,stupid
1486,luz luz luz
1487,worst lyrics ever
1488,turkish delight
1489,language
1490,best version
1491,adoro
1492,preferidas
1493,brasileiro
1494,female singer-songwriters
1495,jack johnson
1496,soundscape
1497,shit
1498,meow
1499,repetitive
1500,drill n bass
1501,breathtaking
1502,trash metal
1503,symphonic black metal
1504,pagan metal
1505,indietronica
1506,rock'n'roll
1507,synthrock
1508,fusion jazz
1509,art rock
1510,melodic hardcore
1511,burnt fur
1512,siouxsie and the banshees
1513,the cure
1514,paradise place
1515,the human league
1516,seconds
1517,ultraviolence
1518,new order
1519,clasica
1520,70
1521,seventies
1522,setenta
1523,setentas
1524,rb
1525,romantica
1526,noruego
1527,nordico
1528,the nordic sound
1529,chilena
1530,illapu
1531,books
1532,folklore
1533,filmmussik
1534,pelicula
1535,spoken
1536,espana
1537,tranquility
1538,trompeta
1539,relajacion
1540,dreaming
1541,israel
1542,jerusalem
1543,la nueva ola chilena
1544,classicalclassic
1545,nueva ola
1546,vieja ola
1547,bavarica
1548,queen of rnb
1549,queen of hip hop
1550,mother monster
1551,sasha fierce
1552,bootylicious
1553,prince of pop
1554,cute smile
1555,gold pants
1556,beautiful eyes
1557,best dancer
1558,curly hair
1559,king of music
1560,love his voice
1561,childhood hero
1562,peter pan
1563,oops she did it again
1564,popular
1565,filipino
1566,champion
1567,singer
1568,folktronic
1569,ellie gouldin
1570,philippines
1571,american band
1572,onerepublic
1573,the fray
1574,philippine
1575,pinoy
1576,woman beater
1577,douchebag
1578,asshole
1579,bizarro
1580,brazilian pop
1581,dragmusic
1582,better than radiohead
1583,eletronic pop
1584,bitch
1585,best remix ever
1586,bewareofthedog
1587,digital hardcore
1588,cyber-punk
1589,techno punk
1590,cyber-grind
1591,faggot
1592,speedgore
1593,lolicore
1594,gabber punk
1595,digital-punk
1596,digital-grindcore
1597,fl band
1598,bossa nova
1599,russian pop
1600,haiti
1601,black music
1602,international singers
1603,mariah
1604,ne-yo
1605,modern country
1606,rem
1607,lady antebellum
1608,beyonce knowles
1609,robbie williams
1610,michael
1611,samba
1612,alternativo
1613,excellent reason for crying
1614,these guys fucking rule
1615,fuck yeah
1616,but the party dont stop
1617,just makes you feel good
1618,for days when i am particularly angry with you
1619,fuck u bitch
1620,songs i can actually listen to on repeat
1621,makes you wanna dance all around your room
1622,boys
1623,we should be together
1624,pop bitch
1625,i was fighting with myself not to listen to it but i lost
1626,bitch song
1627,should have been on the album
1628,make me wanna scream
1629,i wish i could make a video for this
1630,i have a definite favorite part in this song
1631,i can and will listen to this song all day
1632,love him
1633,i hate her but i love the song
1634,for haters
1635,live track
1636,amazing cover
1637,tracks i would put on a movie soundtrack
1638,will you marry me sir
1639,its britney bitch
1640,edward and bella
1641,divorced kids anthem
1642,summer song
1643,i love him
1644,femme fatale
1645,lets make a sandwich
1646,to hear when you wake up
1647,broken family
1648,i could imagine hilary duff doing this song
1649,in the middle of summer
1650,summer night
1651,faves
1652,dark-doom
1653,technical metal
1654,new metal
1655,horrorpunk
1656,batcave
1657,this isnt wild
1658,it just sucks
1659,voodoo
1660,a reason the surfaris should only do instrumental songs
1661,the beach boys are pussies
1662,stop singing dick
1663,spooky funk
1664,mourning for grasshoppers
1665,western deathrock
1666,gothic calliope
1667,poncy goth
1668,music that has made me shout fuck yes
1669,aw man i got the goo goo itch
1670,jagger and bowie boned and you know that bowie was the girl because hes bowie
1671,god damn it on days like this i just have to put bela on loud and shut my eyes until the universe stops
1672,i could tell from the guitar that this is serious rock and roll
1673,ska that isnt for annoying 14-year-olds in orange billabong shirts
1674,welcome to drinkin island
1675,pumpkin fiction
1676,dick fucking dale motherfucker yes
1677,i love men without hats but this album is more like grunge without balls
1678,this singer is way too white to cover cab calloway
1679,i take it back
1680,thailand street punk
1681,one of my first favourite albums from the just-discovering-music-times
1682,horror glam
1683,cartoon metal
1684,monster sleaze
1685,outlaw country
1686,love and death
1687,synthmope
1688,i am going to dig up and be indecent with wendy o
1689,comedy folk goth
1690,old devo
1691,which means way more punk than anyone
1692,dusty dark western gothic rock
1693,hard
1694,ass-kicking southern sleaze
1695,deathglam
1696,cowpunk
1697,go back to kokomo you fucking beach boy assholes
1698,glam
1699,arctic monkeys
1700,deep purple family
1701,save your kisses
1702,crystal kay
1703,taboo
1704,utada
1705,neo-soul
1706,club
1707,krautrock
1708,tribal
1709,beautiful female vocalist
1710,trance metal
1711,vampirefreaks
1712,perfect woman
1713,gothic goddess
1714,worlds most beautiful woman
1715,goddess
1716,christ complex
1717,christian black metal
1718,unblack metal
1719,the speed of awesome
1720,deserve to be more famous but would suck if they became mainstream
1721,greatest band in the universe
1722,dragonball z
1723,cute
1724,male vocalist
1725,youtube
1726,made at home
1727,cartoon
1728,cruj
1729,draco and the malfoys
1730,skinny
1731,cindy lauper
1732,queer
1733,the best place to live
1734,aaron carter
1735,victoria beckham
1736,nick carter
1737,country ladies
1738,australian country
1739,canadian country
1740,texas country
1741,kickass
1742,chilling
1743,absofuckinglutely insane
1744,hatris
1745,so good
1746,incredible
1747,burnap
1748,chocolate
1749,downright beautiful
1750,ear sex
1751,fucking hardcore
1752,demos
1753,singer/songwriter
1754,fresh prince
1755,bus stop
1756,retro
